School Code,School Code Adjusted,School Name,Great Schools Rating,Great Schools URL,
275095,275095,Hite Elementary,7,https://www.greatschools.org/kentucky/middletown/753-Hite-Elementary-School/,https://www.greatschools.org/kentucky/middletown/753-Hite-Elementary-School/
275076,275076,Indian Trail Elementary,4,https://www.greatschools.org/kentucky/louisville/738-Indian-Trail-Elementary-School/,https://www.greatschools.org/kentucky/louisville/738-Indian-Trail-Elementary-School/
275335,275335,Iroquois High,1,https://www.greatschools.org/kentucky/louisville/809-Iroquois-High-School/,https://www.greatschools.org/kentucky/louisville/809-Iroquois-High-School/
275165,275165,J. Graham Brown School,9,https://www.greatschools.org/kentucky/louisville/3944-J.-Graham-Brown-School/,https://www.greatschools.org/kentucky/louisville/3944-J.-Graham-Brown-School/
275165,2751650,J. Graham Brown School,9,https://www.greatschools.org/kentucky/louisville/3944-J.-Graham-Brown-School/,https://www.greatschools.org/kentucky/louisville/3944-J.-Graham-Brown-School/
275165,2751652,J. Graham Brown School,9,https://www.greatschools.org/kentucky/louisville/3944-J.-Graham-Brown-School/,https://www.greatschools.org/kentucky/louisville/3944-J.-Graham-Brown-School/
275165,2751651,J. Graham Brown School,9,https://www.greatschools.org/kentucky/louisville/3944-J.-Graham-Brown-School/,https://www.greatschools.org/kentucky/louisville/3944-J.-Graham-Brown-School/
275325,275325,Jacob Elementary,2,https://www.greatschools.org/kentucky/louisville/808-Jacob-Elementary-School/,https://www.greatschools.org/kentucky/louisville/808-Jacob-Elementary-School/
275396,275396,Jefferson County Traditional Middle,6,https://www.greatschools.org/kentucky/louisville/813-Jefferson-County-Traditional-Middle-School/,https://www.greatschools.org/kentucky/louisville/813-Jefferson-County-Traditional-Middle-School/
275166,275166,Jeffersontown Elementary,4,https://www.greatschools.org/kentucky/jeffersontown/788-Jeffersontown-Elementary-School/,https://www.greatschools.org/kentucky/jeffersontown/788-Jeffersontown-Elementary-School/
275065,275065,Jeffersontown High,2,https://www.greatschools.org/kentucky/jeffersontown/730-Jeffersontown-High-School/,https://www.greatschools.org/kentucky/jeffersontown/730-Jeffersontown-High-School/
275470,275470,Johnson Traditional Middle,4,https://www.greatschools.org/kentucky/louisville/819-Johnson-Traditional-Middle-School/,https://www.greatschools.org/kentucky/louisville/819-Johnson-Traditional-Middle-School/
275106,275106,Johnsontown Road Elementary,5,https://www.greatschools.org/kentucky/louisville/762-Johnsontown-Road-Elementary-School/,https://www.greatschools.org/kentucky/louisville/762-Johnsontown-Road-Elementary-School/
275162,275162,Kammerer Middle,5,https://www.greatschools.org/kentucky/louisville/785-Kammerer-Middle-School/,https://www.greatschools.org/kentucky/louisville/785-Kammerer-Middle-School/
275720,275720,Kennedy Elementary,6,https://www.greatschools.org/kentucky/louisville/833-Kennedy-Elementary-Montessori/,https://www.greatschools.org/kentucky/louisville/833-Kennedy-Elementary-Montessori/
275059,275059,Kenwood Elementary,6,https://www.greatschools.org/kentucky/louisville/726-Kenwood-Elementary-School/?searchWhatType=autosuggest&searchLocationType=city&searchWhatKeywordValue=kenwood,https://www.greatschools.org/kentucky/louisville/726-Kenwood-Elementary-School/?searchWhatType=autosuggest&searchLocationType=city&searchWhatKeywordValue=kenwood
275079,275079,Kerrick Elementary,2,https://www.greatschools.org/kentucky/louisville/741-Kerrick-Elementary-School/,https://www.greatschools.org/kentucky/louisville/741-Kerrick-Elementary-School/
275432,275432,King Elementary,1,https://www.greatschools.org/kentucky/louisville/815-King-Elementary-School/,https://www.greatschools.org/kentucky/louisville/815-King-Elementary-School/
275134,275134,Klondike Lane Elementary,6,https://www.greatschools.org/kentucky/louisville/776-Klondike-Elementary-School/,https://www.greatschools.org/kentucky/louisville/776-Klondike-Elementary-School/
275163,275163,Knight Middle,3,https://www.greatschools.org/kentucky/louisville/786-Knight-Middle-School/,https://www.greatschools.org/kentucky/louisville/786-Knight-Middle-School/
275133,275133,Lassiter Middle,2,https://www.greatschools.org/kentucky/louisville/775-Lassiter-Middle-School/,https://www.greatschools.org/kentucky/louisville/775-Lassiter-Middle-School/
275145,275145,Laukhuf Elementary,5,https://www.greatschools.org/kentucky/louisville/778-Laukhuf-Elementary-School/,https://www.greatschools.org/kentucky/louisville/778-Laukhuf-Elementary-School/
275126,275126,Layne Elementary,6,https://www.greatschools.org/kentucky/louisville/771-Layne-Elementary-School/,https://www.greatschools.org/kentucky/louisville/771-Layne-Elementary-School/
275520,275520,Lincoln Elementary Performing Arts,6,https://www.greatschools.org/kentucky/louisville/822-Lincoln-Elementary-Performing-Arts/,https://www.greatschools.org/kentucky/louisville/822-Lincoln-Elementary-Performing-Arts/
275047,275047,Louisville Male High,10,https://www.greatschools.org/kentucky/louisville/865-Louisville-Male-High-School/,https://www.greatschools.org/kentucky/louisville/865-Louisville-Male-High-School/
275146,275146,Lowe Elementary,7,https://www.greatschools.org/kentucky/hurstbourne/779-Lowe-Elementary-School/,https://www.greatschools.org/kentucky/hurstbourne/779-Lowe-Elementary-School/
